批次,发布日期,规则,规则分类,KP ID,药品名,拼音首字母,医保编码数,医保编码(全部),检测逻辑,逻辑依据,备注
第一批,2025-05-23,药品区分性别使用,医疗-药品,31504,妇科十味胶囊,fkswjn,6,ZD01AAF0203010104920; ZD01AAF0203010109200; ZD01AAF0203010209200; ZD01AAF0203010309200; ZD01AAF0203020102392; ZD01AAF0203020109200,与限定性别不符,舒肝理气，养血调经。用于肝郁血虚，月经不调，行经腹痛，闭经等证。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31232,妇科十味片,fkswp,79,ZD01AAF0204010100169; ZD01AAF0204010100974; ZD01AAF0204010101027; ZD01AAF0204010101463; ZD01AAF0204010101874; ZD01AAF0204010101876; ZD01AAF0204010102144; ZD01AAF0204010102303; ZD01AAF0204010102410; ZD01AAF0204010102458; ZD01AAF0204010102533; ZD01AAF0204010102959; ZD01AAF0204010103040; ZD01AAF0204010103070; ZD01AAF0204010103147; ZD01AAF0204010103155; ZD01AAF0204010103389; ZD01AAF0204010103692; ZD01AAF0204010103704; ZD01AAF0204010103706; ZD01AAF0204010103728; ZD01AAF0204010103830; ZD01AAF0204010103969; ZD01AAF0204010104073; ZD01AAF0204010104134; ZD01AAF0204010104366; ZD01AAF0204010104422; ZD01AAF0204010104456; ZD01AAF0204010104579; ZD01AAF0204010104586; ZD01AAF0204010104721; ZD01AAF0204010104921; ZD01AAF0204010105015; ZD01AAF0204010105885; ZD01AAF0204010105892; ZD01AAF0204010105966; ZD01AAF0204010201027; ZD01AAF0204010202131; ZD01AAF0204010202410; ZD01AAF0204010202959; ZD01AAF0204010203070; ZD01AAF0204010203154; ZD01AAF0204010203155; ZD01AAF0204010203728; ZD01AAF0204010203830; ZD01AAF0204010204366; ZD01AAF0204010204422; ZD01AAF0204010204456; ZD01AAF0204010204721; ZD01AAF0204010302410; ZD01AAF0204010303154; ZD01AAF0204010303155; ZD01AAF0204010303728; ZD01AAF0204010304366; ZD01AAF0204010304422; ZD01AAF0204010304456; ZD01AAF0204010403155; ZD01AAF0204010404456; ZD01AAF0204010503155; ZD01AAF0204010504456; ZD01AAF0204010603155; ZD01AAF0204010604456; ZD01AAF0204020102144; ZD01AAF0204020102458; ZD01AAF0204020102959; ZD01AAF0204020103040; ZD01AAF0204020103070; ZD01AAF0204020103154; ZD01AAF0204020103155; ZD01AAF0204020103389; ZD01AAF0204020103706; ZD01AAF0204020104134; ZD01AAF0204020104586; ZD01AAF0204020202458; ZD01AAF0204020203155; ZD01AAF0204020303155; ZD01AAF0204020403155; ZD01AAF0204030103040; ZD01AAF0204030103154,与限定性别不符,养血舒肝，调经止痛。用于血虚肝郁所致月经不调、痛经、月经前后诸证，症见行经后错，经水量少、有血块，行经小腹疼痛，血块排出痛减，经前双乳胀痛、烦躁，食欲不振。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31311,妇科调经滴丸,fktjdw,4,ZD01AAF0818010105438; ZD01AAF0818010205438; ZD01AAF0818010305438; ZD01AAF0818020105438,与限定性别不符,本品用于肝郁血虚所致的月经不调、经期前后不定、行经腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31227,妇科调经胶囊,fktjjn,5,ZD01AAF0205010100421; ZD01AAF0205010105140; ZD01AAF0205010105542; ZD01AAF0205010205140; ZD01AAF0205010205542,与限定性别不符,养血，调经，止痛。用于月经不调，经期腹痛,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31228,妇科调经颗粒,fktjkl,19,ZD01AAF0206010100150; ZD01AAF0206010100430; ZD01AAF0206010101912; ZD01AAF0206010101945; ZD01AAF0206010104803; ZD01AAF0206010105020; ZD01AAF0206010105088; ZD01AAF0206010105189; ZD01AAF0206010200430; ZD01AAF0206010204803; ZD01AAF0206010205088; ZD01AAF0206010205189; ZD01AAF0206010304803; ZD01AAF0206010305189; ZD01AAF0206010404803; ZD01AAF0206020100150; ZD01AAF0206020100430; ZD01AAF0206020104803; ZD01AAF0206030100430,与限定性别不符,养血，调经，止痛。用于月经量少、后错，经期腹痛,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31229,妇科调经片,fktjp,80,ZD01AAF0207010100159; ZD01AAF0207010100584; ZD01AAF0207010100632; ZD01AAF0207010100716; ZD01AAF0207010100983; ZD01AAF0207010101836; ZD01AAF0207010102023; ZD01AAF0207010102303; ZD01AAF0207010102404; ZD01AAF0207010102743; ZD01AAF0207010102786; ZD01AAF0207010102900; ZD01AAF0207010102995; ZD01AAF0207010103014; ZD01AAF0207010103154; ZD01AAF0207010103155; ZD01AAF0207010103498; ZD01AAF0207010103503; ZD01AAF0207010103747; ZD01AAF0207010104082; ZD01AAF0207010104305; ZD01AAF0207010104458; ZD01AAF0207010105046; ZD01AAF0207010105049; ZD01AAF0207010105068; ZD01AAF0207010105156; ZD01AAF0207010105168; ZD01AAF0207010105172; ZD01AAF0207010105290; ZD01AAF0207010105331; ZD01AAF0207010105345; ZD01AAF0207010105509; ZD01AAF0207010105667; ZD01AAF0207010105878; ZD01AAF0207010200584; ZD01AAF0207010200983; ZD01AAF0207010201836; ZD01AAF0207010202023; ZD01AAF0207010202303; ZD01AAF0207010202404; ZD01AAF0207010202786; ZD01AAF0207010203014; ZD01AAF0207010203154; ZD01AAF0207010203155; ZD01AAF0207010203503; ZD01AAF0207010203747; ZD01AAF0207010205068; ZD01AAF0207010205168; ZD01AAF0207010205331; ZD01AAF0207010300584; ZD01AAF0207010301836; ZD01AAF0207010302786; ZD01AAF0207010303014; ZD01AAF0207010303154; ZD01AAF0207010305068; ZD01AAF0207010305168; ZD01AAF0207010305331; ZD01AAF0207010402786; ZD01AAF0207010405068; ZD01AAF0207010405168; ZD01AAF0207010505068; ZD01AAF0207010505168; ZD01AAF0207020100716; ZD01AAF0207020100983; ZD01AAF0207020102995; ZD01AAF0207020103154; ZD01AAF0207020103155; ZD01AAF0207020104082; ZD01AAF0207020105068; ZD01AAF0207020105667; ZD01AAF0207020203155; ZD01AAF0207020204082; ZD01AAF0207020304082; ZD01AAF0207020305068; ZD01AAF0207020404082; ZD01AAF0207030102303; ZD01AAF0207030103155; ZD01AAF0207030105046; ZD01AAF0207030203155; ZD01AAF0207040103155,与限定性别不符,养血柔肝，理气调经。用于肝郁血虚所致的月经不调、经期前后不定、行经腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31492,妇康丸,fkw,6,ZD01AAF0186010103272; ZD01AAF0186010103596; ZD01AAF0186010203272; ZD01AAF0186020103272; ZD01AAF0186020203272; ZD01AAF0186020303272,与限定性别不符,本品用于产后气血不足，虚中夹瘀，寒热错杂的胁腹胀痛，腹痛，头身疼痛，恶露不绝，血晕昏迷，大便秘结，无乳等症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31505,妇科万应膏,fkwyg,9,ZD01BAF0208010101343; ZD01BAF0208010102777; ZD01BAF0208010104309; ZD01BAF0208010202777; ZD01BAF0208010204309; ZD01BAF0208010304309; ZD01BAF0208010404309; ZD01BAF0208010504309; ZD01BAF0208020104309,与限定性别不符,温经散寒，活血化瘀，理气止痛。用于宫寒血滞引起的月经不调，经期腹痛，腹冷经闭，腰痛带下等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31506,妇科养坤丸,fkykw,11,ZD01AAF0209010100356; ZD01AAF0209010100388; ZD01AAF0209010103471; ZD01AAF0209010200356; ZD01AAF0209010203471; ZD01AAF0209010300356; ZD01AAF0209010303471; ZD01AAF0209010400356; ZD01AAF0209010403471; ZD01AAF0209010503471; ZD01AAF0209020100356,与限定性别不符,疏肝理气，养血活血。本品用于血虚肝郁所致的月经不调，痛经，经期头痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31507,妇科养荣胶囊,fkyrjn,5,ZD01AAF0210020102438; ZD01AAF0210020202438; ZD01AAF0210020302438; ZD01AAF0210020402438; ZD01AAF0210020502438,与限定性别不符,补养气血，疏肝解郁，祛瘀调经。用于气血不足，肝郁不舒，月经不调，头晕目眩，血漏血崩，贫血身弱及不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31508,妇科养荣丸,fkyrw,10,ZD01AAF0211010103082; ZD01AAF0211010103380; ZD01AAF0211010105898; ZD01AAF0211010203380; ZD01AAF0211010205898; ZD01AAF0211010303380; ZD01AAF0211010403380; ZD01AAF0211010503380; ZD01AAF0211020103380; ZD01AAF0211020403380,与限定性别不符,补养气血，疏肝解郁，祛瘀调经。用于气血不足，肝郁不舒，月经不调，头晕目眩，血漏血崩，贫血身弱及不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31509,妇科养荣丸(浓缩丸),fkyrwnsw,9,ZD01AAF0211010103136; ZD01AAF0211010105892; ZD01AAF0211010105893; ZD01AAF0211010203136; ZD01AAF0211010303136; ZD01AAF0211010403136; ZD01AAF0211020105892; ZD01AAF0211020205892; ZD01AAF0211020305892,与限定性别不符,补养气血，疏肝解郁，祛瘀调经。用于气血不足，肝郁不舒，月经不调，头晕目眩，血漏血崩，贫血身弱及不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31510,妇科止带胶囊,fkzdjn,8,ZD02AAF0214010100312; ZD02AAF0214010102384; ZD02AAF0214010105381; ZD02AAF0214010105469; ZD02AAF0214010105579; ZD02AAF0214010109604; ZD02AAF0214010205381; ZD02AAF0214010209604,与限定性别不符,清热燥湿，收敛止带。用于慢性子宫颈炎，子宫内膜炎，阴道粘膜炎等引起的湿热型赤白带症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31511,妇科止带片,fkzdp,31,ZD02AAF0215010100361; ZD02AAF0215010101182; ZD02AAF0215010102402; ZD02AAF0215010102508; ZD02AAF0215010103078; ZD02AAF0215010103357; ZD02AAF0215010103418; ZD02AAF0215010103503; ZD02AAF0215010103560; ZD02AAF0215010103586; ZD02AAF0215010104305; ZD02AAF0215010104351; ZD02AAF0215010104912; ZD02AAF0215010105149; ZD02AAF0215010105289; ZD02AAF0215010105310; ZD02AAF0215010105464; ZD02AAF0215010105538; ZD02AAF0215010105858; ZD02AAF0215010200361; ZD02AAF0215010202402; ZD02AAF0215010202508; ZD02AAF0215010203357; ZD02AAF0215010203586; ZD02AAF0215010204912; ZD02AAF0215010205464; ZD02AAF0215010205538; ZD02AAF0215010303586; ZD02AAF0215010304912; ZD02AAF0215020105538; ZD02AAF0215020205538,与限定性别不符,清热燥湿，收敛止带。用于慢性子宫颈炎，子宫内膜炎，阴道粘膜炎等引起的湿热型赤白带症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31512,妇科止血灵,fkzxl,22,ZD01CAF0805010101224; ZD01CAF0805010103333; ZD01CAF0805010103846; ZD01CAF0805010203333; ZD01CAF0805010203846; ZD01CAF0805010303333; ZD01CAF0805010403333; ZD01CAF0805010503333; ZD01CAF0805010703333; ZD01CAF0805010803333; ZD01CAF0805010903333; ZD01CAF0805011003333; ZD01CAF0805011103333; ZD01CAF0805011203333; ZD01CAF0805011303333; ZD01CAF0805020101224; ZD01CAF0805020103333; ZD01CAF0805020201224; ZD01CAF0805020301224; ZD01CAF0805030103333; ZD01CAF0805031403333; ZD01CAF0805031503333,与限定性别不符,补肾敛阴，固冲止血。用于妇女功能性子宫出血。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31513,妇科止血灵胶囊,fkzxljn,11,ZD01CAF0216010100608; ZD01CAF0216010102038; ZD01CAF0216010103972; ZD01CAF0216010105148; ZD01CAF0216010200608; ZD01CAF0216010202038; ZD01CAF0216010203972; ZD01CAF0216010205148; ZD01CAF0216010303972; ZD01CAF0216010305148; ZD01CAF0216010405148,与限定性别不符,补肾敛阴，固冲止血，用于妇女功能性子宫出血。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31514,妇科止血灵片,fkzxlp,3,ZD01CAF0217010102685; ZD01CAF0217010202685; ZD01CAF0217020102685,与限定性别不符,补肾敛阴，固冲止血，用于妇女功能性子宫出血。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31515,妇科止痒胶囊,fkzyjn,2,ZZ01AAF0218010105140; ZZ01AAF0218010205140,与限定性别不符,清热燥湿，杀虫止痒。本品用于阴道炎症，属湿热型患者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31516,妇科止痒片,fkzyp,8,ZD02AAF0219010105149; ZD02AAF0219010205149; ZD02AAF0219010305149; ZD02AAF0219010405149; ZD02AAF0219010505149; ZD02AAF0219020105149; ZD02AAF0219020605149; ZD02AAF0219020705149,与限定性别不符,清热燥湿，杀虫止痒。用于阴道炎症属湿热型清热燥湿。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31233,妇科再造胶囊,fkzzjn,3,ZD01AAF0212010105415; ZD01AAF0212010205415; ZD01AAF0212010305415,与限定性别不符,养血调经，补益肝肾，暖宫止痛。用于月经先后不定期，带经日久、淋漓出血、痛经、带下等症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31234,妇科再造丸,fkzzw,6,ZD01AAF0213010105415; ZD01AAF0213010205415; ZD01AAF0213010305415; ZD01AAF0213010405415; ZD01AAF0213010505415; ZD01AAF0213020205415,与限定性别不符,养血调经，补益肝肾，暖宫止痛。用于月经先后不定期，带经日久，痛经，带下。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31313,妇乐胶囊,fljn,6,ZD02AAF0221010105329; ZD02AAF0221010205329; ZD02AAF0221010305329; ZD02AAF0221030105329; ZD02AAF0221030205329; ZD02AAF0221030305329,与限定性别不符,本品用于瘀热蕴结所致的带下病，症见：带下量多，色黄，少腹疼痛；慢性盆腔炎见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31518,妇良胶囊,fljn,3,ZD01AAF0225010105381; ZD01AAF0225010205381; ZD01AAF0225010305381,与限定性别不符,补血健脾，固经止带。用于血虚脾弱，带下质清，崩漏色淡，经后少腹隐痛，头昏目眩，面色无华。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31314,妇乐颗粒,flkl,21,ZD02AAF0222010101463; ZD02AAF0222010101994; ZD02AAF0222010102122; ZD02AAF0222010104198; ZD02AAF0222010104508; ZD02AAF0222010104803; ZD02AAF0222010105327; ZD02AAF0222010105547; ZD02AAF0222010201994; ZD02AAF0222010204198; ZD02AAF0222010204508; ZD02AAF0222010204803; ZD02AAF0222010205327; ZD02AAF0222010301994; ZD02AAF0222010304198; ZD02AAF0222010305327; ZD02AAF0222010401994; ZD02AAF0222010404198; ZD02AAF0222010405327; ZD02AAF0222020101994; ZD02AAF0222020102122,与限定性别不符,本品用于瘀热蕴结所致的带下病，症见带下量多、色黄，少腰疼痛；慢性盆腔炎见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31236,妇乐片,flp,6,ZD02AAF0223010102364; ZD02AAF0223010202364; ZD02AAF0223010302364; ZD02AAF0223010402364; ZD02AAF0223010502364; ZD02AAF0223010602364,与限定性别不符,清热凉血，消肿止痛。用于盆腔炎、附件炎、子宫内膜炎等引起的带下，腹痛,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31519,妇良片,flp,5,ZD01AAF0226010105264; ZD01AAF0226010109544; ZD01AAF0226010205264; ZD01AAF0226010209544; ZD01AAF0226010305264,与限定性别不符,补血健脾，固经止带。用于血虚脾弱，带下质清，崩漏色淡，经后少腹隐痛，头昏目眩，面色无华。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31517,妇乐糖浆,fltj,2,ZD02AAF0224010101994; ZD02AAF0224020101994,与限定性别不符,清热凉血，消肿止痛。用于盆腔炎，附件炎、子宫内膜炎等引起的带下、腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31520,妇宁胶囊,fnjn,5,ZD01AAF0227010102467; ZD01AAF0227010104504; ZD01AAF0227010202467; ZD01AAF0227010204504; ZD01AAF0227010304504,与限定性别不符,养血调经，顺气通郁。用于月经不调，腰腹疼痛，赤白带下，精神倦怠，饮食减少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31521,妇宁康胶囊,fnkjn,2,ZD03AAF0228010102058; ZD03AAF0228010202058,与限定性别不符,补肾助阳，调整冲任，益气养血，安神解郁。用于妇女绝经前后诸症及月经不调，阴道干燥，精神抑郁不安等症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31523,妇宁颗粒,fnkl,5,ZD01AAF0230010103022; ZD01AAF0230010104504; ZD01AAF0230010204504; ZD01AAF0230010304504; ZD01AAF0230020103022,与限定性别不符,养血调经，顺气通郁。对痛经、带下病及宫颈炎、盆腔炎等有显著疗效，用于月经不调，腰腹疼痛，精神倦怠，饮食减少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31522,妇宁康片,fnkp,10,ZD03AAF0229010100302; ZD03AAF0229010101248; ZD03AAF0229010102058; ZD03AAF0229010104082; ZD03AAF0229010202058; ZD03AAF0229010204082; ZD03AAF0229010301243; ZD03AAF0229010304082; ZD03AAF0229010404082; ZD03AAF0229010504082,与限定性别不符,补肾助阳，调整冲任，益气养血，安神解郁。用于妇女绝经前后诸症及月经不调，阴道干燥，精神抑郁不安。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31524,妇宁栓,fns,12,ZD01AAF0231010103649; ZD01AAF0231010103693; ZD01AAF0231010203649; ZD01AAF0231010203693; ZD01AAF0231010303649; ZD01AAF0231010403649; ZD01AAF0231020103649; ZD01AAF0231020203649; ZD01AAF0231020303649; ZD01AAF0231020403649; ZD01AAF0231030103649; ZD01AAF0231030203649,与限定性别不符,本品适用于清热解毒、燥湿杀虫、去腐生肌、化瘀止痛。用于细菌、病毒、霉菌、滴虫等引起的阴道炎、阴道溃疡、宫颈炎、宫颈糜烂、阴痒、阴蚀、黄白带下、味臭、小腹痛、腰骶痛等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31237,妇女痛经颗粒,fntjkl,3,ZD01AAF0233010104140; ZD01AAF0233010204140; ZD01AAF0233010304140,与限定性别不符,活血，调经，止痛。用于气血凝滞，小腹胀疼，经期腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31315,妇女痛经丸,fntjw,11,ZD01AAF0234010100169; ZD01AAF0234010103596; ZD01AAF0234010104481; ZD01AAF0234010105429; ZD01AAF0234010202410; ZD01AAF0234010203596; ZD01AAF0234010302410; ZD01AAF0234010303596; ZD01AAF0234020102380; ZD01AAF0234020302380; ZD01AAF0234020402380,与限定性别不符,本品活血，调经，止痛。用于气血凝滞，小腹胀疼，经期腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31525,妇宁丸,fnw,2,ZD01AAF0232010104921; ZD01AAF0232010105015,与限定性别不符,本品养血调经，顺气通郁。用于月经不调，腰腹疼痛，精神倦怠，饮食减少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31526,妇女养血丸,fnyxw,2,ZD01AAF0235010105858; ZD01AAF0235020105858,与限定性别不符,补气，养血，调经。用于气虚血亏，受寒引起的经期不准，行经腹痛，身体虚弱，气短烦倦，午后身烧。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31527,妇平胶囊,fpjn,2,ZD02AAF0236010105430; ZD02AAF0236010205430,与限定性别不符,本品用于下焦湿热、瘀毒所致之白带量多，色黄质粘，或赤白相兼，或如脓样，有异臭，少腹坠胀疼痛，腰部酸痛，尿黄便干，舌红苔黄腻，脉数；盆腔炎、附件炎等见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31528,妇舒丸,fsw,13,ZD01AAF0237010103471; ZD01AAF0237010105615; ZD01AAF0237010105630; ZD01AAF0237010105693; ZD01AAF0237010205615; ZD01AAF0237010205693; ZD01AAF0237010305693; ZD01AAF0237020103471; ZD01AAF0237020105615; ZD01AAF0237020105630; ZD01AAF0237020105693; ZD01AAF0237020203471; ZD01AAF0237030105630,与限定性别不符,补气养血，调经止带。用于气血凝滞，子宫寒冷，月经量少、后错，痛经，白带量多，小腹下坠，不思饮食。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31529,妇痛宁肠溶软胶囊,ftncrrjn,1,ZD01AAF0238010102292,与限定性别不符,解痉止痛。用于妇女痛经，产后宫缩痛，感染性腹泻引起的急性腹痛等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31530,妇血安片,fxap,3,ZD01BAF0239010100440; ZD01BAF0239010200440; ZD01BAF0239020100440,与限定性别不符,活血化瘀，止血调经。本品用于血瘀所致月经过多及经期延长。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31531,妇血康颗粒,fxkkl,5,ZD01BAF0240010105088; ZD01BAF0240010205088; ZD01BAF0240010305088; ZD01BAF0240020105088; ZD01BAF0240020205088,与限定性别不符,活血化瘀，止血调经。本品用于瘀血阻滞所致的月经量多，经期延长，产后恶露不绝等症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31532,妇炎净胶囊,fyjjn,6,ZD02AAF0241010105156; ZD02AAF0241010205156; ZD02AAF0241010305156; ZD02AAF0241020105156; ZD02AAF0241030105156; ZD02AAF0241030205156,与限定性别不符,清热祛湿，调经止带。用于湿热蕴结所致的带下病、月经不调、痛经；慢性盆腔炎、附件炎见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31533,妇炎净片,fyjp,14,ZD02AAF0242010102364; ZD02AAF0242010103355; ZD02AAF0242010105378; ZD02AAF0242010105469; ZD02AAF0242010105754; ZD02AAF0242010202364; ZD02AAF0242010202446; ZD02AAF0242010203355; ZD02AAF0242010205754; ZD02AAF0242010302364; ZD02AAF0242010302446; ZD02AAF0242010305754; ZD02AAF0242010405754; ZD02AAF0242020105391,与限定性别不符,清热祛湿，调经止带。用于湿热蕴结所致的带下病、月经不调、痛经;慢性盆腔炎，附件炎，子宫内膜炎见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31536,妇炎康复咀嚼片,fykfjjp,1,ZD02AAF0244010105378,与限定性别不符,清热利湿，化瘀止痛。本品用于湿热瘀阻所致妇女带下、色黄质粘稠或如豆渣状、气臭，少腹、腰骶疼痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31535,妇炎康复胶囊,fykfjn,15,ZD02AAF0243010102402; ZD02AAF0243010103374; ZD02AAF0243010105377; ZD02AAF0243010202402; ZD02AAF0243010203374; ZD02AAF0243010205377; ZD02AAF0243010303374; ZD02AAF0243010305377; ZD02AAF0243010403374; ZD02AAF0243010405377; ZD02AAF0243020103374; ZD02AAF0243020105377; ZD02AAF0243020203374; ZD02AAF0243020303374; ZD02AAF0243020403374,与限定性别不符,本品清热利湿，化瘀止痛。用于湿热瘀阻所致妇女带下、色黄质粘稠、或如豆渣状、气臭，少腹、腰骶疼痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31537,妇炎康复颗粒,fykfkl,2,ZD02AAF0245010101104; ZD02AAF0245010201104,与限定性别不符,本品清热利湿，化瘀止痛。用于湿热瘀阻所致妇女带下、色黄质粘稠、或如豆渣状、气臭，少腹、腰骶疼痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31538,妇炎康复片,fykfp,47,ZD02AAF0246010100995; ZD02AAF0246010101190; ZD02AAF0246010102458; ZD02AAF0246010104336; ZD02AAF0246010105650; ZD02AAF0246010200995; ZD02AAF0246010201190; ZD02AAF0246010204336; ZD02AAF0246010205650; ZD02AAF0246010300995; ZD02AAF0246010301190; ZD02AAF0246010304336; ZD02AAF0246010305650; ZD02AAF0246010400995; ZD02AAF0246010401190; ZD02AAF0246010405650; ZD02AAF0246010500995; ZD02AAF0246010505650; ZD02AAF0246010600995; ZD02AAF0246010601190; ZD02AAF0246010605650; ZD02AAF0246010700995; ZD02AAF0246010701190; ZD02AAF0246010705650; ZD02AAF0246010805650; ZD02AAF0246010905650; ZD02AAF0246011005650; ZD02AAF0246011105650; ZD02AAF0246020100995; ZD02AAF0246020101190; ZD02AAF0246020102458; ZD02AAF0246020104336; ZD02AAF0246020105650; ZD02AAF0246020200995; ZD02AAF0246020201190; ZD02AAF0246020204336; ZD02AAF0246020205650; ZD02AAF0246020300995; ZD02AAF0246020400995; ZD02AAF0246020500995; ZD02AAF0246030101190; ZD02AAF0246030104336; ZD02AAF0246030201190; ZD02AAF0246030301190; ZD02AAF0246030401190; ZD02AAF0246040101190; ZD02AAF0246050501190,与限定性别不符,清热利湿，化瘀止痛。用于湿热瘀阻所致妇女带下、色黄质粘稠、或如豆渣状、气臭，少腹、腰骶疼痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31534,妇炎康分散片,fykfsp,11,ZD02AAF0809010207075; ZD02AAF0809010307075; ZD02AAF0809010407075; ZD02AAF0809010507075; ZD02AAF0809010607075; ZD02AAF0809010707075; ZD02AAF0809010807075; ZD02AAF0809010907075; ZD02AAF0809011007075; ZD02AAF0809020107075; ZD02AAF0809020307075,与限定性别不符,清热利湿，解毒化瘀，散结止痛。用于湿热下注，毒瘀互阻所致带下病。症见带下量多、色黄、气臭，少腹痛、腰骶痛，口苦咽干；慢性盆腔炎、细菌性阴道病见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31546,妇月康胶囊,fykjn,36,ZD01BAF0268010100582; ZD01BAF0268010101804; ZD01BAF0268010101951; ZD01BAF0268010101994; ZD01BAF0268010102364; ZD01BAF0268010102395; ZD01BAF0268010102402; ZD01BAF0268010102421; ZD01BAF0268010102816; ZD01BAF0268010102840; ZD01BAF0268010103130; ZD01BAF0268010103306; ZD01BAF0268010103406; ZD01BAF0268010103897; ZD01BAF0268010104268; ZD01BAF0268010104305; ZD01BAF0268010105141; ZD01BAF0268010105509; ZD01BAF0268010105549; ZD01BAF0268010201804; ZD01BAF0268010201951; ZD01BAF0268010202364; ZD01BAF0268010202421; ZD01BAF0268010202816; ZD01BAF0268010203897; ZD01BAF0268010204268; ZD01BAF0268010205141; ZD01BAF0268010301804; ZD01BAF0268010302364; ZD01BAF0268010304268; ZD01BAF0268010404268; ZD01BAF0268010504268; ZD01BAF0268020102402; ZD01BAF0268020103130; ZD01BAF0268020202402; ZD01BAF0268020302402,与限定性别不符,活血、祛瘀，止痛。用于产后恶露不行，少腹疼痛，也可试用于上节育环后引起的阴道流血，月经过多。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31547,妇月康颗粒,fykkl,2,ZD01BAF0269010102278; ZD01BAF0269010202278,与限定性别不符,活血、祛瘀，止痛。用于产后恶露不行，少腹疼痛，也可试用于上节育环后引起的阴道流血，月经过多。,女
